1gram,nullpvalue,nullcor,pvalue,cor,valence,country
adorable,0.051047,0.337,0.058732,0.327,7.4,GB
adorable,0.051047,0.337,0.21977,0.26,7.48,ES
audible,0.109091,0.28,0.152293,0.251,6.05,GB
abide,0.625685,0.087,0.268825,0.195,5.52,GB
algebra,0.839948,-0.036,0.593103,0.095,5.4,GB
assemblyman,0.721593,0.063,0.641207,-0.083,5,GB
accent,0.625636,-0.087,0.004502,0.475,6.48,GB
ancestor,0.031149,-0.37,0.165341,-0.243,6.37,GB
arrange,0.798357,0.045,0.075444,-0.309,5.15,GB
adolescent,0.610883,0.09,0.111761,-0.278,5.38,GB
acetylene,0.263297,0.197,0.135715,-0.261,4.11,GB
administrative,0.390988,-0.152,0.00616,-0.46,4.79,GB
apology,0.568973,0.101,0.018503,0.402,6.24,GB
aggression,0.800968,-0.045,0.452583,-0.133,3.18,GB
amputation,0.906369,0.021,0.423942,-0.142,1.84,GB
astound,0.182099,-0.234,0.510722,0.117,6.3,GB
ace,0.684527,0.072,0.151485,0.251,6.37,GB
architect,0.706171,0.067,0.475272,-0.127,6.21,GB
aspire,0.314687,0.178,0.030866,0.371,6.43,GB
alleviate,0.373817,0.157,0.404327,0.148,6.25,GB
assembly,0.809269,-0.043,0.137575,-0.26,5.47,GB
axe,0.580775,-0.098,0.743666,-0.058,3.48,GB
attract,0.098302,0.288,0.022036,0.392,6.38,GB
auburn,0.439942,-0.137,0.710747,0.066,5.89,GB
account,0.516184,-0.115,0.591555,0.095,5.39,GB
amnesia,0.74839,-0.057,0.143851,0.256,3.43,GB
analogy,0.518888,0.115,0.307994,-0.18,5.24,GB
arm,0.07219,-0.312,0.172859,0.239,5.44,GB
abomination,0.263562,0.197,0.171926,0.24,2.5,GB
antique,0.85355,-0.033,0.265977,0.196,6.5,GB
aristocratic,0.561799,-0.103,0.76542,0.053,5.79,GB
abstinence,0.901851,0.022,0.656259,-0.079,3.43,GB
admittance,0.819236,0.041,0.653705,-0.08,6.29,GB
acceptance,0.209315,0.221,0.000679,-0.554,6.84,GB
aristocrat,0.850168,0.034,0.153173,-0.25,4.28,GB
assertive,0.2637,0.197,0.265845,0.196,5.37,GB
atoll,0.263012,-0.197,0.662794,-0.078,5.14,GB
auditorium,0.068885,-0.316,0.306165,0.181,6.05,GB
adder,0.102746,0.285,0.003373,-0.489,4.45,GB
anecdote,0.44729,0.135,0.151357,0.251,5.62,GB
appreciative,0.457615,-0.132,0.032727,0.367,7.14,GB
auction,0.482925,-0.125,0.030137,0.372,5.43,GB
artifact,0.061044,0.325,0.056845,0.33,6.2,GB
academy,0.55308,0.105,0.091175,0.294,5.32,GB
affinity,0.563247,0.103,0.010042,-0.436,5.86,GB
arrogance,0.503373,0.119,0.223693,0.214,2.55,GB
antidote,0.453441,-0.133,0.022402,0.391,6.55,GB
artillery,0.418464,0.143,0.479665,0.125,4.1,GB
aftermath,0.582276,-0.098,0.002897,0.495,4.29,GB
alley,0.820801,-0.04,0.000969,0.54,4.17,GB
argument,0.193202,-0.229,0.146908,0.254,2.62,GB
airspeed,0.694812,0.07,0.215522,0.218,4.95,GB
aggressive,0.118043,-0.273,0.133951,0.262,3.08,GB
armored,0.875948,0.028,0.047654,0.342,5.67,GB
auditory,0.747449,0.057,0.27167,-0.194,5.05,GB
arrhythmia,0.92208,0.017,0.083228,0.301,3.86,GB
audio,0.913112,-0.019,0.040309,0.353,6.56,GB
ammo,0.253617,-0.201,0.969934,0.007,4.18,GB
autopilot,0.55063,-0.106,0.000276,0.585,5.65,GB
acre,0.381711,0.155,0.028621,-0.376,5.53,GB
acre,0.381711,0.155,0.750938,0.068,4.23,ES
antsy,0.594506,0.096,0.020566,0.401,4.36,GB
armament,0.008498,-0.444,0.080793,-0.304,5.05,GB
add,0.313242,-0.178,0.012212,0.425,6.23,GB
ado,0.495272,-0.121,0.345602,-0.167,4.82,GB
announcer,0.881208,0.027,0.314752,-0.178,5.84,GB
acne,0.145385,0.255,0.474288,0.127,2.18,GB
appoint,0.231607,0.211,0.025343,-0.383,5.95,GB
assailant,0.189557,-0.231,0.325623,0.174,3.24,GB
almanac,0.841783,-0.036,0.775706,-0.051,5.55,GB
absolution,0.0855,0.299,0.357594,0.163,6.58,GB
avalanche,0.905963,0.021,0.59803,0.094,4,GB
aid,0.222859,-0.215,0.032474,-0.368,6.29,GB
arraignment,0.948538,0.011,0.815156,-0.042,3.91,GB
assume,0.354331,0.164,0.129908,-0.265,4.41,GB
agreement,0.051635,-0.337,0.013082,-0.421,6.75,GB
anvil,0.68203,0.073,0.033313,-0.366,5.05,GB
aerodynamic,0.061127,-0.325,0.883343,0.026,6.16,GB
appalling,0.850088,-0.034,0.136597,-0.261,2.95,GB
airlock,0.51211,0.116,0.307037,0.18,4.85,GB
ancestral,0.155821,0.249,0.151635,0.251,6.6,GB
agitate,0.0985,-0.288,0.167243,-0.242,3.36,GB
antelope,0.587858,-0.096,0.971208,0.006,5.68,GB
argumentative,0.470797,0.128,0.072721,0.312,3.2,GB
astronomical,0.955248,0.01,0.415616,-0.144,6.37,GB
afternoon,0.685006,0.072,0.856665,0.032,6.68,GB
abyss,0.591315,-0.095,0.023896,0.387,3.9,GB
anger,0.590716,0.096,0.0031,0.492,2.5,GB
alloy,0.718641,-0.064,0.079018,-0.305,5.2,GB
adjacent,0.670054,0.076,0.002415,-0.503,5.15,GB
anthrax,0.018173,0.403,0.015833,0.411,2.32,GB
arctic,0.515156,-0.116,0.043864,-0.348,4.45,GB
airfield,0.880919,-0.027,0.333829,-0.171,5.74,GB
aisle,0.782548,0.049,0.406435,-0.147,5.17,GB
allow,0.238324,-0.208,0.02018,0.397,6.39,GB
alumnus,0.00646,0.458,0.052295,0.336,4.95,GB
approve,0.303486,-0.182,0.177586,-0.237,7,GB
attend,0.141308,0.258,0.44461,0.136,5.4,GB
attack,0.277225,-0.192,0.150499,-0.252,2,GB
accomplishment,0.249883,-0.203,0.51537,-0.116,8.05,GB
analyzer,0.825858,0.039,0.667441,-0.076,4.62,GB
anthropologist,0.423838,-0.142,0.874336,0.028,5.7,GB
apricot,0.420045,-0.143,0.560112,0.104,5.95,GB
aqua,0.668397,0.076,0.334224,-0.171,6.5,GB
astronomer,0.212814,0.219,0.974299,0.006,5.59,GB
abominable,0.725656,0.062,0.789548,0.048,4.05,GB
administration,0.382216,-0.155,0.093805,-0.292,4.45,GB
